Country Name,Country Code,Year,Gender Gap Labor force participation % (15+age),Gender Gap Part time employment %,Gender Gap Self-employed %,Gender Gap Unemployment %,Gender Gap Vulnerable employment %,Gender Gap Wage and salaried workers %,Total Gender Gap %
Latvia,LVA,2011,12.5400009155274,-7.840000152587878,4.59999942779543,4.8340005874633984,2.060999631881719,-4.600006103515597,11.594994306564473
Morocco,MAR,1986,0,0,0,0,0,0,0
Moldova,MDA,1968,0,0,0,0,0,0,0
Maldives,MDV,1972,0,0,0,0,0,0,0
Marshall Islands,MHL,2015,0,0,0,0,0,0,0
Myanmar,MMR,1972,0,0,0,0,0,0,0
Mozambique,MOZ,1974,0,0,0,0,0,0,0
Malawi,MWI,2003,4.905998229980497,0,-10.0580024719238,-4.710999488830571,-10.778001785278299,10.058000564575195,-10.583004951476976
Niger,NER,1984,0,0,0,0,0,0,0
Norway,NOR,2002,9.621002197265696,-27.539999008178697,5.836999893188521,-0.12899971008301048,4.776000171899789,-5.837005615234403,-13.272002071142104
Nepal,NPL,1982,0,0,0,0,0,0,0
French Polynesia,PYF,1970,0,0,0,0,0,0,0
French Polynesia,PYF,2013,14.285999298095703,0,8.843000411987301,-1.4639987945556996,4.668999373912701,-8.842994689941406,17.4910055994986
Russian Federation,RUS,1986,0,0,0,0,0,0,0
Sao Tome and Principe,STP,1998,36.560001373290994,0,-11.550998687744205,-5.3210000991821005,-11.755002975463796,11.550998687744205,19.483998298645098
Sweden,SWE,1996,8.781002044677692,-21.770000457763597,10.63399982452396,1.8500003814697514,6.0380003154278,-10.633995056152301,-5.100992947816696
Timor-Leste,TLS,1967,0,0,0,0,0,0,0
Timor-Leste,TLS,2016,27.4729995727539,0,-2.0670013427735014,-1.5810000896453897,-4.1590032577515,2.0670013427735014,21.73299622535701
Tunisia,TUN,1970,0,0,0,0,0,0,0
British Virgin Islands,VGB,2009,0,0,0,0,0,0,0
Zimbabwe,ZWE,2000,13.716003417968807,0,-28.278003692627003,2.0880002975463903,-28.540998458862305,28.2779998779297,-12.736998558044409
Zimbabwe,ZWE,2016,10.7099990844726,0,-21.0770034790039,-1.3530001640319798,-21.426998138427805,21.0770015716553,-12.070001125335786
Afghanistan,AFG,1998,71.8629961013794,0,-0.7849960327149006,-3.725999832153299,-1.5440006256104084,0.7849998474120987,66.59299945831289
Angola,AGO,1967,0,0,0,0,0,0,0
Andorra,AND,1998,0,0,0,0,0,0,0
United Arab Emirates,ARE,1994,60.91799736022949,0,2.15500009059906,-0.6189999580383301,1.4249999392777621,-2.1549987792967897,61.72399865277119
Australia,AUS,2010,13.742996215820298,-23.139999389648498,9.260999679565401,-0.3099999427795401,5.481000632047669,-9.260993957519503,-4.225996762514171
Burkina Faso,BFA,2016,16.918003082275405,0,-4.963996887207003,-5.249999523162851,-5.638000488281193,4.96399974822995,6.030005931854308
Belarus,BLR,1993,14.3160018920899,0,1.6979999542236301,-0.058000028133392,0.7609999254345801,-1.697998046875,15.019003696739718
Bolivia,BOL,2016,24.819000244140597,0,5.772998809814503,-1.7779998779296902,4.156999588012699,-5.773002624511697,27.19799613952641
Brazil,BRA,1988,0,0,0,0,0,0,0
Bhutan,BTN,1993,24.719997406005902,0,-14.376998901367202,-0.3999999761581401,-14.404003143310504,14.376999855041499,9.915995240211554
China,CHN,1977,0,0,0,0,0,0,0
China,CHN,1995,12.073005676269489,0,-2.1829986572264986,0.7880001068115199,-4.1040010452271005,2.182998657226598,8.757004737854007
China,CHN,2006,13.180000305175696,0,-1.25,0.8410000801086399,-4.0189981460571005,1.25,10.002002239227235
Comoros,COM,1974,0,0,0,0,0,0,0
Czech Republic,CZE,1975,0,0,0,0,0,0,0
Dominican Republic,DOM,1981,0,0,0,0,0,0,0
Finland,FIN,1964,0,0,0,0,0,0,0
Fiji,FJI,1983,0,0,0,0,0,0,0
"Gambia, The",GMB,2014,17.287998199462905,0,-17.02099609375,-5.8159995079040705,-17.39899444580071,17.021001815795902,-5.926990032195974
Haiti,HTI,2006,10.671997070312507,0,-3.8990020751952983,-4.5430011749268004,-4.520999431610107,3.89899921417234,1.6079936027526411
Haiti,HTI,1965,0,0,0,0,0,0,0
Hungary,HUN,2014,15.700000762939403,-4.690000534057601,5.83300018310547,-0.3400001525878995,1.97300028800964,-5.833000183105398,12.643000364303614
Indonesia,IDN,1998,33.854999542236406,0,-7.154003143310604,-1.0830001831054705,-10.552000522613504,7.154003143310597,22.219998836517426
India,IND,1998,48.575000762939496,0,-8.096000671386705,-0.11999988555908025,-8.8989963531495,8.09599971771238,39.55600357055659
Italy,ITA,1988,0,-15.57999944686887,0,0,0,0,-15.57999944686887
Kenya,KEN,1974,0,0,0,0,0,0,0
Kiribati,KIR,1995,0,0,0,0,0,0,0
St. Kitts and Nevis,KNA,1972,0,0,0,0,0,0,0
St. Kitts and Nevis,KNA,2004,0,0,0,0,0,0,0
Libya,LBY,1974,0,0,0,0,0,0,0
Sri Lanka,LKA,1999,40.4060020446778,0,-0.531997680664098,-6.95300054550167,-2.6279993057250977,0.531997680664098,30.82500219345103
Lithuania,LTU,2012,10.040000915527301,-11.079998970031701,4.35200023651119,3.628999710082999,2.4799996614456603,-4.3519973754882955,5.0690041780471535
Luxembourg,LUX,1988,0,-16.12999916076656,0,0,0,0,-16.12999916076656
Madagascar,MDG,1970,0,0,0,0,0,0,0
Maldives,MDV,1981,0,0,0,0,0,0,0
Malawi,MWI,2010,8.664001464843693,0,-11.080001831054702,-3.0099997520446795,-11.841999053954993,11.0799980163574,-6.18800115585328
Namibia,NAM,2001,14.985004425048906,0,-12.166999816894503,-4.7699985504150995,-14.541000366210898,12.166999816894503,-4.325994491577092
New Caledonia,NCL,1995,10.7630004882812,0,13.6509990692138,-2.8839988708495987,6.481000199913989,-13.6510009765625,14.35999990999689
Niger,NER,1996,22.048004150390597,0,-1.652000427246108,-3.30600023269654,-2.2649955749512998,1.65199947357174,16.47700738906839
Nicaragua,NIC,2003,42.113998413086,0,1.9729995727538991,-0.3810000419616699,-1.207001686096099,-1.9729995727538991,40.52599668502823
Norway,NOR,2017,6.763999938964801,-15.189998626709002,4.76500034332275,0.8900001049041699,3.03000032901764,-4.764999389648494,-4.505997300148135
French Polynesia,PYF,1995,22.170001983642607,0,11.271999359130803,-2.966000556945801,6.828999519348098,-11.271999359130803,26.033000946044904
French Polynesia,PYF,2015,14.0650024414062,0,8.6319999694824,-1.3619995117187997,4.4940001666545,-8.632003784179702,17.1969992816446
Senegal,SEN,1999,38.134002685546896,0,0.7010002136229971,-2.7060003280639595,-1.1320009231568022,-0.7010002136229971,34.296001434326136
Singapore,SGP,2008,20.776004791259695,0,9.05000019073484,-0.8440001010894798,5.13199985027316,-9.050003051757798,25.064001679420414
San Marino,SMR,1972,0,0,0,0,0,0,0
San Marino,SMR,1976,0,0,0,0,0,0,0
Somalia,SOM,1998,58.0979995727539,0,-15.207000732421903,-0.9609999656677202,-16.46200037002569,15.206999778747502,40.67499828338609
South Sudan,SSD,1982,0,0,0,0,0,0,0
Sao Tome and Principe,STP,1965,0,0,0,0,0,0,0
Sao Tome and Principe,STP,1977,0,0,0,0,0,0,0
Suriname,SUR,2007,25.688003540039105,0,4.8880004882811985,-9.74799966812136,3.672999620437599,-4.888000488281207,19.613003492355336
Seychelles,SYC,1964,0,0,0,0,0,0,0
Seychelles,SYC,1971,0,0,0,0,0,0,0
Togo,TGO,2000,0.6729965209960938,0,-12.878997802734403,0.61199998855591,-13.524000167846609,12.878999710082999,-12.23900175094601
Tonga,TON,1991,37.4060020446778,0,-1.2579994201660014,-1.1190000772476199,-1.4720001220701988,1.2579994201660014,34.81500184535998
Uruguay,URY,2017,18.310001373290994,0,6.127000808715799,-2.9130001068115297,3.4480005204677013,-6.126998901367202,18.845003694295762
Uzbekistan,UZB,1996,23.545997619628892,0,2.038000106811502,0.09000015258789062,-0.37999963760369937,-2.0379943847657103,23.256003856658875
Uzbekistan,UZB,2016,23.932998657226605,0,3.4890003204345987,0.22399997711181996,1.4570007324218999,-3.488998413085909,25.614001274109015
St. Vincent and the Grenadines,VCT,1967,0,0,0,0,0,0,0
Virgin Islands (U.S.),VIR,2009,9.252998352050795,0,8.934999465942397,-1.78799962997436,2.5040000081063027,-8.934997558593707,9.969000637531428
"Yemen, Rep.",YEM,1998,51.305004119873,0,-0.8299980163574006,4.533999919891329,-2.7220001220702983,0.8299980163574006,53.11700391769403
Aruba,ABW,1982,0,0,0,0,0,0,0
Aruba,ABW,1994,0,0,0,0,0,0,0
Angola,AGO,2001,6.071998596191406,0,-28.488998413086,-3.5300006866455007,-31.958997249603293,28.488998413086,-29.416999340057387
Andorra,AND,2004,0,0,0,0,0,0,0
United Arab Emirates,ARE,2008,49.7600021362305,0,3.8959997892379703,-12.692000150680569,1.060999955981967,-3.896003723144503,38.12899800762536
Austria,AUT,2005,15.4619979858399,-26.120002746582003,4.673000335693301,-0.42000007629394,0.37699997425080944,-4.672996520996094,-10.701001048088024
Bahrain,BHR,1986,0,0,0,0,0,0,0
Bosnia and Herzegovina,BIH,1979,0,0,0,0,0,0,0
Brunei Darussalam,BRN,1983,0,0,0,0,0,0,0
Bhutan,BTN,1962,0,0,0,0,0,0,0
"Congo, Dem. Rep.",COD,2008,2.3299942016600994,0,2.5449981689452983,-1.32399988174439,-0.4260015487671964,-2.5449981689452983,0.5799927711485129
Algeria,DZA,1982,0,0,0,0,0,0,0
Spain,ESP,2010,15.762001037597706,-16.4800014495849,7.928000450134302,-0.6499996185302983,4.30099993944172,-7.928001403808594,2.9329989552499356
Estonia,EST,2003,14.300994873046896,-6.070000648498501,5.8719997406006,1.7600002288818004,4.53000019490719,-5.8720016479492045,14.520992740988781
Finland,FIN,1978,0,0,0,0,0,0,0
Fiji,FJI,1984,0,0,0,0,0,0,0
France,FRA,2003,13.0270004272461,-17.969999313354503,6.2420005798339915,-1.5429997444152797,2.143999874591831,-6.24199676513669,-4.3419949412345495
Greece,GRC,1971,0,0,0,0,0,0,0
Grenada,GRD,1961,0,0,0,0,0,0,0
Greenland,GRL,1982,0,0,0,0,0,0,0
Honduras,HND,1966,0,0,0,0,0,0,0
Iceland,ISL,2003,10.016998291015597,-17.300001144409197,11.44199943542476,0.04999971389771041,7.599999889731449,-11.442001342773395,0.36699484288692474
Jamaica,JAM,1961,0,0,0,0,0,0,0
Lao PDR,LAO,1993,2.3940048217774006,0,-8.333999633788991,0.25,-8.568002700805707,8.33400058746336,-5.923996925353938
Liberia,LBR,1995,11.2249984741211,0,-14.0380020141601,2.8730001449584996,-14.138999938964702,14.037999153137232,-0.041004180907968646
St. Lucia,LCA,2001,21.647998809814403,0,10.577001571655302,0.6520004272461009,6.3680014610291025,-10.577003479003906,28.667998790741002
Lesotho,LSO,2014,15.215999603271506,0,8.379997253417898,-4.969999313354499,8.113998889923096,-8.379997253417898,18.359999179840102
Maldives,MDV,1976,0,0,0,0,0,0,0
"Macedonia, FYR",MKD,1964,0,0,0,0,0,0,0
Mauritania,MRT,2008,39.83300018310551,0,-6.489997863769503,-4.333999633789029,-9.247999668121395,6.489997863769503,26.25100088119509
Mauritius,MUS,2007,35.132003784179695,-12.709999084472699,5.972000122070398,-9.18099975585936,3.206000506877899,-5.972000122070298,16.447005450725634
Malawi,MWI,1977,0,0,0,0,0,0,0
New Caledonia,NCL,1977,0,0,0,0,0,0,0
New Zealand,NZL,2012,11.846996307372997,-23.6800022125244,8.039999961852999,-0.5209999084472603,4.603999853134059,-8.0400009155274,-7.750006914139007
Peru,PER,2000,25.5009994506835,0,-11.345001220703196,-0.15900039672851918,-16.310997962951603,11.345001220703196,9.031001091003379
Peru,PER,2009,15.875,-12.8200006484986,-12.647998809814496,-0.08999991416930975,-17.0740003585816,12.647998809814496,-14.10900092124951
Philippines,PHL,2002,30.464000701904297,0,-0.541000366210902,-0.5179998874664302,-3.373999595642104,0.541000366210902,26.572001218795762
Papua New Guinea,PNG,1962,0,0,0,0,0,0,0
Puerto Rico,PRI,1970,0,0,0,0,0,0,0
Puerto Rico,PRI,1991,30.7740001678467,0,20.225998878478997,4.998000144958501,9.462000966072,-20.2259979248047,45.2340022325515
West Bank and Gaza,PSE,2014,51.8530006408691,-18.5800008773804,0.2099990844725994,-14.596000671386697,-2.1520013809204954,-0.2099990844725994,16.524997711181506
Rwanda,RWA,1970,0,0,0,0,0,0,0
Suriname,SUR,1966,0,0,0,0,0,0,0
Suriname,SUR,1988,0,0,0,0,0,0,0
Slovak Republic,SVK,1965,0,0,0,0,0,0,0
Eswatini,SWZ,1989,0,0,0,0,0,0,0
Sint Maarten (Dutch part),SXM,2014,0,0,0,0,0,0,0
Syrian Arab Republic,SYR,1991,62.072998046875,0,1.4429969787598012,-8.55599975585934,-4.2839965820312,-1.4429969787598012,49.23300170898446
Chad,TCD,2004,15.455001831054702,0,-9.41899871826169,-2.1019997596740803,-9.564001083373995,9.41900026798249,3.789002537727427
Chad,TCD,1969,0,0,0,0,0,0,0
Timor-Leste,TLS,1991,38.665004730224595,0,-1.6560020446777983,-3.6000003814697106,-2.9830007553099946,1.6560020446778054,32.082003593444895
Tonga,TON,1992,35.094005584716804,0,-0.10800170898440342,-1.001000046730044,-0.35000038146969814,0.10800170898440342,33.743005156517064
Virgin Islands (U.S.),VIR,1979,0,0,0,0,0,0,0
Vietnam,VNM,1963,0,0,0,0,0,0,0
Kosovo,XKX,2007,0,0,0,0,0,0,0
Zimbabwe,ZWE,1994,13.472000122070298,0,-34.814998626709006,3.7389998435974103,-35.149999618530295,34.8150005340576,-17.938997745513987
Angola,AGO,1994,6.853996276855497,0,-28.047004699707003,-3.386001586914002,-29.313998222350996,28.047000885009698,-25.846007347106806
Andorra,AND,2008,0,0,0,0,0,0,0
Antigua and Barbuda,ATG,1993,0,0,0,0,0,0,0
Australia,AUS,2001,16.901000976562507,-24.359998703003004,9.9020004272461,0.5300002098083496,6.1779998242855605,-9.902000427246094,-0.75099769234658
Burundi,BDI,1967,0,0,0,0,0,0,0
Belgium,BEL,2008,14.110000610351598,-23.840000152587898,6.243000984191902,-1.13100004196167,2.4229998290538894,-6.243003845214901,-8.43800261616708
Benin,BEN,1982,0,0,0,0,0,0,0
Bulgaria,BGR,1962,0,0,0,0,0,0,0
Belize,BLZ,1981,0,0,0,0,0,0,0
Belize,BLZ,2008,32.4000015258789,0,4.7590007781981996,-7.24299955368044,1.2550001144409002,-4.758995056152301,26.412007808685257
Bhutan,BTN,1967,0,0,0,0,0,0,0
Switzerland,CHE,1965,0,0,0,0,0,0,0
Chile,CHL,1991,45.068996429443395,0,4.9500007629394,-0.6749997138977104,3.301000118255601,-4.949996948242202,47.695000648498485
Cote d'Ivoire,CIV,2016,18.230995178222706,-11.5200004577636,-19.03400421142581,-1.27099990844727,-20.464000701904297,19.0339994430542,-15.024010658264068
Colombia,COL,1983,0,0,0,0,0,0,0
Costa Rica,CRI,1996,45.919002532959,0,9.152000427246097,-2.9819998741149902,5.3880002498626,-9.152000427246108,48.325002908706594
Costa Rica,CRI,2014,27.333000183105405,-16.7600002288818,7.534000396728501,-4.07599973678591,1.2029999941587999,-7.533996582031207,7.70000402629379
Denmark,DNK,1973,0,0,0,0,0,0,0
Algeria,DZA,1962,0,0,0,0,0,0,0
Ecuador,ECU,1977,0,0,0,0,0,0,0
Estonia,EST,1997,16.139003753662095,-3.7700004577636985,5.64399957656857,1.6099996566772798,3.1279999017715494,-5.644004821777401,17.106997609138396
Ethiopia,ETH,2004,13.399002075195298,0,-2.7779998779297017,-6.09500026702881,-3.497999191284194,2.7779998779296893,3.8060026168822816
France,FRA,2000,14.307998657226598,-19.3899984359741,5.69699954986573,-3.67500019073489,1.5990001261234301,-5.696998596191406,-7.157998889684638
Faroe Islands,FRO,2015,0,0,0,0,0,0,0
"Micronesia, Fed. Sts.",FSM,1961,0,0,0,0,0,0,0
"Micronesia, Fed. Sts.",FSM,1982,0,0,0,0,0,0,0
Gabon,GAB,1962,0,0,0,0,0,0,0
Georgia,GEO,1968,0,0,0,0,0,0,0
Guatemala,GTM,2004,43.711002349853494,0,-11.3680000305176,-1.8689997196197505,-12.166999816894602,11.3680000305176,29.67500281333914
Croatia,HRV,1960,0,0,0,0,0,0,0
Jordan,JOR,2002,55.0279998779297,0,13.17099952697751,-13.5690002441406,6.3290002346038,-13.170997619628892,47.78800177574152
Jordan,JOR,1972,0,0,0,0,0,0,0
Kazakhstan,KAZ,1990,12.271995544433594,0,0,0,0,0,12.271995544433594
Kenya,KEN,1962,0,0,0,0,0,0,0
Kiribati,KIR,1983,0,0,0,0,0,0,0
Kuwait,KWT,1965,0,0,0,0,0,0,0
Kuwait,KWT,1994,40.649997711181705,0,3.266999959945681,-0.047999978065490057,2.836999915540221,-3.2669982910155966,43.43899931758652
Sri Lanka,LKA,2015,39.94400024414071,0,-2.5069999694824006,-4.51599979400635,-5.157003164291304,2.5069999694824006,30.270997285843055
Latvia,LVA,1963,0,0,0,0,0,0,0
Latvia,LVA,2012,12.475997924804702,-7.4899997711182,4.833000183105511,2.2089996337891016,2.085999906063079,-4.833000183105497,9.280997693538698
Madagascar,MDG,1962,0,0,0,0,0,0,0
Mexico,MEX,2011,36.3430023193359,-14.1399993896484,-1.630001068115206,0.05999994277954013,-5.4109992980957,1.6299972534178977,16.851999759674033
Mauritius,MUS,2016,28.020996093749993,-9.7100009918213,8.6110000610352,-6.443000316619821,4.0489999651909,-8.6110000610351,15.916994750499873
Nicaragua,NIC,1977,0,0,0,0,0,0,0
Netherlands,NLD,2000,19.565002441406307,-39.4200038909912,3.1520004272461293,-1.29200005531311,0.5039999485015905,-3.1520004272459943,-20.64300155639627
Nepal,NPL,1985,0,0,0,0,0,0,0
Philippines,PHL,1969,0,0,0,0,0,0,0
Papua New Guinea,PNG,2003,3.0910034179687926,0,-14.844001770019489,1.80599987506867,-16.947999954223604,14.843999862670902,-12.050998568534729
Portugal,PRT,1993,20.569999694824197,-10.7399997711182,1.5680007934569993,-1.7539997100830105,-3.1589994430543022,-1.5679931640625,4.9170083999631835
Qatar,QAT,2006,45.419002532959,0,0.210999995470047,-3.376999974250795,0.2450000047683723,-0.21099853515620737,42.287004023790416
Russian Federation,RUS,1996,16.280002593994197,0,1.4009997844696,0.4099998474121307,0.9400000423193,-1.4010009765625,17.630001291632727
Senegal,SEN,1992,41.0359992980957,0,0.4070014953612997,-2.7690000534057697,-1.486998558044398,-0.4070014953612997,36.780000686645536
Solomon Islands,SLB,2014,17.864002227783203,0,-1.5779991149902983,-0.1670000553131099,-2.9160022735595987,1.5780029296875,14.781003713607696
Serbia,SRB,1994,19.121997833252003,0,0.8110008239746023,-1.4390001296997,0.8190000057219997,-0.8109970092774006,18.502001523971504
Serbia,SRB,2003,19.272998809814503,0,6.136999130248999,-2.204999923706101,2.6749989986419003,-6.137001037597599,19.7429959774017
South Sudan,SSD,1994,6.626998901367202,0,-6.652999877929702,-1.6680002212523988,-11.926997661590597,6.652999877929702,-6.9679989814757946
South Sudan,SSD,1996,7.058998107910099,0,-6.061000823974602,-2.0789995193481,-11.073000907897907,6.061000823974602,-6.093002319335907
South Sudan,SSD,2001,7.535003662109403,0,-6.685001373291001,-1.9939994812012003,-11.8850030899048,6.685001373291001,-6.343998908996596
Sweden,SWE,1989,0,0,0,0,0,0,0
Eswatini,SWZ,1996,35.602001190185604,0,-16.101001739501903,-2.5389995574950994,-16.4330007433891,16.100997924804602,16.629997074604102
Syrian Arab Republic,SYR,1978,0,0,0,0,0,0,0
Turkmenistan,TKM,2013,24.134002685546903,0,-2.942001342773498,-0.38899993896484997,-3.8559999465942987,2.942001342773409,19.889002799987665
Timor-Leste,TLS,2002,37.1760025024414,0,-2.415000915527301,-2.8410000801086497,-3.4179992675782103,2.4149990081787003,30.91700124740594
Tonga,TON,2010,29.608001708984396,0,-7.359996795654304,-0.740999937057498,-7.768999099731502,7.359996795654304,21.098002672195395
Tunisia,TUN,1985,0,0,0,0,0,0,0
Ukraine,UKR,2002,12.6500015258789,0,-4.597999572753903,2.5040006637572905,-5.0989989042282,4.597999572753892,10.05500328540798
United States,USA,2009,12.628002166748004,-9.3900003433227,5.4630002975464205,2.2159996032715092,2.4120000302791498,-5.462997436523395,7.866004317998988
Vietnam,VNM,2006,8.935997009277301,0,-10.680999755859403,-0.32600021362305,-12.178000450134299,10.680997848510799,-3.5680055618286524
Zimbabwe,ZWE,2014,10.794998168945298,-17.409999847412102,-20.957000732421903,-1.3439998626708904,-21.311997890472398,20.957000732421903,-29.270999431610093
Sierra Leone,SLE,1975,0,0,0,0,0,0,0
Argentina,ARG,1963,0,0,0,0,0,0,0
Azerbaijan,AZE,2013,6.640995025634702,-3.41000008583069,-8.381999969482393,-1.90899991989136,-11.027999877929801,8.382001876831001,-9.706002950668541
Burkina Faso,BFA,1969,0,0,0,0,0,0,0
Bangladesh,BGD,1999,60.9959964752197,0,-25.717998504638707,0.51899981498718,-25.755000114441003,25.717999458313002,35.759997129440166
Bangladesh,BGD,2012,51.429002761840806,0,-15.491996765136697,-2.3530001640319798,-18.421000003814704,15.492000579833999,30.655006408691424
Bahrain,BHR,2005,47.2220001220703,0,2.9099997282028207,-3.5209999680519113,1.31500002741813,-2.9100036621094034,45.015996247529934
"Bahamas, The",BHS,1999,12.522003173828097,0,11.2839994430542,-3.3969998359680202,8.168999373912898,-11.283996582031307,17.294005572795868
Bosnia and Herzegovina,BIH,2005,22.6269989013672,0,4.641998291015604,-6.208000183105504,-2.318000316619802,-4.641998291015604,14.100998401641895
Central African Republic,CAF,2001,14.856002807617202,0,-16.039001464843807,-1.0629997253418004,-17.57000184059129,16.0389995574951,-3.7770006656645947
Switzerland,CHE,1962,0,0,0,0,0,0,0
China,CHN,2010,14.102996826171896,0,0.06799697875980115,0.9300003051757795,-3.1690011024475027,-0.06799697875980115,11.863996028900173
"Congo, Dem. Rep.",COD,2017,2.1289978027344034,0,-0.04100036621089487,-1.2360000610351598,-3.0959978103637056,0.04100036621089487,-2.203000068664462
Cabo Verde,CPV,2006,30.392002105712905,0,-0.23699951171879974,-1.6780004501343004,-2.0380005836485964,0.23699951171879974,26.67600107193001
Caribbean small states,CSS,1990,27.9429923551061,0,0,0,0,0,27.9429923551061
Curacao,CUW,2001,0,0,0,0,0,0,0
Czech Republic,CZE,1985,0,0,0,0,0,0,0
Djibouti,DJI,1984,0,0,0,0,0,0,0
Denmark,DNK,1990,12.812999725341797,-21.140001296997102,0,0,0,0,-8.327001571655305
Dominican Republic,DOM,1999,34.7589950561523,0,18.859001159667997,-5.17700004577635,18.037999749183697,-18.859996795654297,47.618999123573346
Algeria,DZA,1968,0,0,0,0,0,0,0
Algeria,DZA,2014,52.0659980773926,-18.89000034332274,5.150999069213899,-7.925999641418441,2.6049996614456994,-5.1510009765625,27.854995846748515
Ecuador,ECU,1971,0,0,0,0,0,0,0
Finland,FIN,1968,0,0,0,0,0,0,0
Finland,FIN,2003,9.296997070312493,-11.600000381469702,7.74799919128421,1.0199995040893999,4.52599981427193,-7.748001098632798,3.242994099855533
United Kingdom,GBR,1960,0,0,0,0,0,0,0
Guinea,GIN,1970,0,0,0,0,0,0,0
Greece,GRC,2009,20.589000701904297,-11.670000076294002,7.909000396728498,-6.330999851226771,1.0910012722015985,-7.908996582031193,3.679005861282427
Honduras,HND,1973,0,0,0,0,0,0,0
Honduras,HND,1989,0,0,0,0,0,0,0
Haiti,HTI,1979,0,0,0,0,0,0,0
Indonesia,IDN,1984,0,0,0,0,0,0,0
Ireland,IRL,1969,0,0,0,0,0,0,0
"Korea, Rep.",KOR,1995,26.966995239257905,0,-3.984001159667997,0.6270000934600901,-7.0369997024536985,3.984001159667997,20.556995630264296
Kuwait,KWT,2004,36.294002532959,0,2.9779999554157213,-1.9309999942779599,2.501999992877251,-2.9779968261717897,36.86500566080222
Lesotho,LSO,2015,14.938995361328196,0,7.9140014648438,-4.805000305175803,7.647998332977302,-7.9140014648438,17.781993389129696
Lithuania,LTU,2000,11.660003662109403,-9.770000457763699,6.072999954223597,4.598999977111902,4.756000757217301,-6.073005676269602,11.244998216628902
Luxembourg,LUX,1992,30.051998138427805,-19.46000099182129,0.1909999847411985,-1.2020001411437997,-2.1000000834465,-0.19100189208980112,7.289995014667614
Monaco,MCO,1990,0,0,0,0,0,0,0
Moldova,MDA,2000,2.1339988708496023,0,6.097000122070302,3.8140001296997506,3.9309988021851012,-6.097000122070298,9.878997802734457
Marshall Islands,MHL,1999,0,0,0,0,0,0,0
"Macedonia, FYR",MKD,1998,24.892997741699197,0,5.365999221801701,-5.1049995422363,3.614000082015899,-5.365997314453097,23.4020001888274
Mauritius,MUS,1962,0,0,0,0,0,0,0
